Alabama,4874747,3779274,77.5
Alaska,739795,554867,75
Arizona,7016270,5382780,76.7
Arkansas,3004279,2298739,76.5
California,39536653,30476517,77.1
Colorado,5607154,4345321,77.5
Connecticut,3588184,2844358,79.3
Delaware,961939,757455,78.7
District of Columbia,693972,569480,82.1
Florida,20984400,16782417,80
Georgia,10429379,7914681,75.9
Hawaii,1427538,1121794,78.6
Idaho,1716943,1273151,74.2
Illinois,12802023,9904838,77.4
Indiana,6666818,5093409,76.4
Iowa,3145711,2413764,76.7
Kansas,2913123,2200585,75.5
Kentucky,4454189,3443650,77.3
Louisiana,4684333,3575930,76.3
Maine,1335907,1083273,81.1
Maryland,6052177,4704671,77.7
Massachusetts,6859819,5489864,80
Michigan,9962311,7785662,78.2
Minnesota,5576606,4277949,76.7
Mississippi,2984100,2270533,76.1
Missouri,6113532,4730561,77.4
Montana,1050493,821604,78.2
Nebraska,1920076,1444343,75.2
Nevada,2998039,2312576,77.1
New Hampshire,1342795,1084022,80.7
New Jersey,9005644,7026626,78
New Mexico,2088070,1599980,76.6
New York,19849399,15694902,79.1
North Carolina,10273419,7971073,77.6
North Dakota,755393,579621,76.7
Ohio,11658609,9053374,77.7
Oklahoma,3930864,2971579,75.6
Oregon,4142776,3269157,78.9
Pennsylvania,12805537,10141022,79.2
Puerto Rico,3337177,2680381,80.3
Rhode Island,1059639,852307,80.4
South Carolina,5024369,3919695,78
South Dakota,869666,654810,75.3
Tennessee,6715984,5208482,77.6
Texas,28304596,20938557,74
Utah,3101833,2175134,70.1
Vermont,623657,506832,81.3
Virginia,8470020,6600844,77.9
Washington,7405743,5759927,77.8
West Virginia,1815857,1446139,79.6
Wisconsin,5795483,4512839,77.9
Wyoming,579315,442832,76.4